ISO3,Year,WID_income_share_bottom50
CIV,2018,14.48
CIV,2019,14.760000000000002
CIV,2020,15.049999999999999
CIV,2021,15.329999999999998
CIV,2022,15.329999999999998
CHL,1995,7.5200000000000005
CHL,1996,7.5200000000000005
CHL,1997,7.5200000000000005
CHL,1998,7.5200000000000005
CHL,1999,7.5200000000000005
CHL,2000,7.5200000000000005
CHL,2001,7.779999999999999
CHL,2002,8.03
CHL,2003,8.28
CHL,2004,7.920000000000001
CHL,2005,7.5600000000000005
CHL,2006,7.199999999999999
CHL,2007,7.19
CHL,2008,7.180000000000001
CHL,2009,7.17
CHL,2010,6.83
CHL,2011,6.49
CHL,2012,6.819999999999999
CHL,2013,7.1499999999999995
CHL,2014,7.2700000000000005
CHL,2015,7.3999999999999995
CHL,2016,7.7
CHL,2017,8
CHL,2018,7.59
CHL,2019,7.180000000000001
CHL,2020,6.77
CHL,2021,7.48
CHL,2022,8.18
CMR,1995,11.51
CMR,1996,11.51
CMR,1997,11.68
CMR,1998,11.86
CMR,1999,12.030000000000001
CMR,2000,12.2
CMR,2001,12.379999999999999
CMR,2002,12.3
CMR,2003,12.23
CMR,2004,12.16
CMR,2005,12.08
CMR,2006,12.01
CMR,2007,11.940000000000001
CMR,2008,11.75
CMR,2009,11.559999999999999
CMR,2010,11.379999999999999
CMR,2011,11.19
CMR,2012,11
CMR,2013,10.82
CMR,2014,10.63
CMR,2015,10.879999999999999
CMR,2016,11.129999999999999
CMR,2017,11.379999999999999
CMR,2018,11.62
CMR,2019,11.87
CMR,2020,12.120000000000001
CMR,2021,12.370000000000001
CMR,2022,12.370000000000001
CHN,1995,18.17
CHN,1996,18.73
CHN,1997,18.759999999999998
CHN,1998,18.82
CHN,1999,18.18
CHN,2000,17.07
CHN,2001,16.520000000000003
CHN,2002,15.299999999999999
CHN,2003,14.89
CHN,2004,14.89
CHN,2005,14.17
CHN,2006,14.16
CHN,2007,14.01
CHN,2008,13.969999999999999
CHN,2009,13.900000000000002
CHN,2010,13.600000000000001
CHN,2011,13.850000000000001
CHN,2012,14.29
CHN,2013,13.79
CHN,2014,14.14
CHN,2015,14.12
CHN,2016,14.11
CHN,2017,13.86
CHN,2018,13.930000000000001
CHN,2019,13.98
CHN,2020,13.77
CHN,2021,13.74
CHN,2022,13.51
COL,1995,6.35
COL,1996,6.35
COL,1997,6.35
COL,1998,6.35
COL,1999,6.35
COL,2000,6.35
